Date,EURUSD=X,CAD=X
2014-01-02,0.2370305966402661,0.15819955860336674
2014-01-03,0.2308388943398759,-0.7297207137206514
2014-01-06,-0.36244820676368333,-0.5179913046636604
2014-01-07,0.28555737347828103,0.2641189577018985
2014-01-08,1.046012837169363,-0.1144479138039092
2014-01-09,0.4565834339764847,-0.3262645920922542
2014-01-10,0.20769518110639187,0.2582075036617316
2014-01-13,0.5453113933386557,0.4746537900696673
2014-01-14,-0.20288365611950473,-0.013672835915707617
2014-01-15,0.5973697922142545,-0.010936126318097095
2014-01-16,0.009135854352735106,-0.5071816273284515
2014-01-17,-0.1480840712395082,0.13744992602880854
2014-01-20,0.30141784262012217,-0.6664171796130559
2014-01-21,-0.1149810021873316,0.1583902921653464
2014-01-22,0.14233071022356775,0.07454711611054408
2014-01-23,1.2143400437011964,-0.12466634062765418
2014-01-24,0.09812608738252337,1.0783407536758027
2014-01-27,-0.4590782624959168,-0.008212318839923762
2014-01-28,0.47437395037529223,-0.09713591007093002
2014-01-29,0.28211053530280467,-0.14348021439030972
2014-01-30,0.3135313148181939,0.025951082660621898
2014-01-31,-0.22474665965408172,-0.7335049649193158
2014-02-03,-0.3016433737257731,-0.521998441625946
2014-02-04,-0.13765006500075427,0.27282950262569394
2014-02-05,-0.21631740261417046,-0.06760842601348421
2014-02-06,-0.04962996835254902,0.14202358194438222
2014-02-07,-0.07767357756293723,0.4204705929538309
2014-02-10,-0.2895110972696885,0.20000328221204702
2014-02-11,0.17290366490033746,0.19631073408210953
2014-02-12,-0.43146737521809764,-0.051842794901395955
2014-02-13,-0.13179920254828015,-0.35942598370327483
2014-02-14,-0.15110595867467355,0.6503604597205287
2014-02-17,-0.03917831598237912,0.15469202970794452
2014-02-18,-0.15504984003870928,0.03288604857311306
2014-02-19,-0.04199755857737274,0.4188629412028152
2014-02-20,1.077145669271685,-0.22956100866479315
2014-02-21,0.30396813882079105,-0.06725703844722217
2014-02-24,0.07471608879083494,0.1221911568621595
2014-02-25,-0.4799071916383015,-0.013737209631594539
2014-02-26,0.22670701146576522,0.07282994530443482
2014-02-27,0.46895364723607375,-0.4676494630947171
2014-02-28,-0.1168046559887655,0.18624739877314625
2014-03-03,-0.5463069503575737,0.505709215968058
2014-03-04,0.1553565134282937,-0.2902725952262302
2014-03-05,0.0757924077279214,0.030229442040605382
2014-03-06,-0.540782695471168,-0.0508330407654611
2014-03-07,-0.38612465918515965,0.9341556042900706
2014-03-10,0.9305089411394453,0.11236074046602443
2014-03-11,0.23331048611544533,0.0013828816686088019
2014-03-12,-0.05130372949661514,-0.14978010486165844
2014-03-13,0.07289234842095312,0.33453626005333276
2014-03-14,-0.3550500389518417,-0.2818620131832985
2014-03-17,0.15695283379421962,0.3430660233264308
2014-03-18,-0.3313348237764842,0.09743256101407129
2014-03-19,0.6292281844807943,0.030648030633230395
2014-03-20,1.0521575974272965,-0.8047481612097382
2014-03-21,-0.04002535593432279,-0.26910683088194937
2014-03-24,-0.13619554748489257,0.097891349810862
2014-03-25,-0.2559981118981132,0.31366427844640415
2014-03-26,-0.2861941847161474,-0.1438290216428007
2014-03-27,-0.5964979998506693,-0.26772660661445746
2014-03-28,-0.6236363967693719,-0.29587258151206697
2014-03-31,0.1847885961466682,0.07834988526700136
2014-04-01,0.018100912311661693,0.16653768207834319
2014-04-02,-0.21739506361417335,0.14336317462118944
2014-04-03,0.00906892072305018,-0.1929369103343702
2014-04-04,0.04532146710351222,-0.3230338286028914
2014-04-07,-0.4915046221321387,-0.143992248169083
2014-04-08,-0.04008139040846924,0.2840823396454095
2014-04-09,-0.42457062148195096,0.3648447142524785
2014-04-10,-0.4493545476643557,0.44652172463989653
2014-04-11,0.48960643932967984,0.2260909576430914
2014-04-14,0.3906941678518448,-0.28980703209830216
2014-04-15,-0.07473872353034795,-0.21023318900520319
2014-04-16,0.1494216300071112,-0.03730430009616327
2014-04-17,0.2237038209237905,0.10917269907322023
2014-04-18,-0.017261876571284144,-0.1077831383595211
2014-04-21,0.12438346991986929,0.022092284394073822
2014-04-22,-0.025411785460708356,-0.14633142640695299
2014-04-23,0.07530784178773256,0.10903923275149466
2014-04-24,0.03808116587574477,0.06630679110028417
2014-04-25,-0.08616002391359659,0.09263849724542293
2014-04-28,0.11788505546709509,0.062265459204656114
2014-04-29,-0.08976595792646914,0.08861423143385382
2014-04-30,-0.6561712445404001,-0.2835783174395127
2014-05-01,0.11863819639487046,0.4014023231827639
2014-05-02,-0.015504388447081952,0.012479492008045753
2014-05-05,0.11576820464906776,0.012486527907703611
2014-05-06,-0.16230667692048328,0.023585228985511127
2014-05-07,-0.6334911058819807,0.3934598852896429
2014-05-08,0.08262084725738954,-0.13641967029599536
2014-05-09,-0.6240784267269528,-0.4857376994374057
2014-05-12,0.6240784267269543,-0.6059261029613223
2014-05-13,0.0,-0.028886809655364307
2014-05-14,0.07338227600137541,-0.3433289915365347
2014-05-15,-0.1743640689548824,0.07680273626977313
2014-05-16,-0.1010948300311065,-0.026060771973013146
2014-05-19,-0.11131370499733266,-0.09596808304641248
2014-05-20,0.07361252493358354,0.07676792472735973
2014-05-21,0.3351609868261932,-0.07128751744299505
2014-05-22,0.04949254402454115,-0.1629485181911676
2014-05-23,-0.19076290698153717,-0.1995525732119659
2014-05-26,-0.22057178237577207,-0.18825634298810995
2014-05-27,-0.11967571453594132,0.1650482167218273
2014-05-28,-0.018427746483721825,-0.10506273560637217
2014-05-29,0.13810346101966017,-0.3199562287751592
2014-05-30,-0.28931061055574187,0.08158566795989035
2014-06-02,0.04981578709195163,0.17292688861119182
2014-06-03,0.5444831872402778,-0.21372455139653052
2014-06-04,0.1264968671224282,0.16195314257280657
2014-06-05,0.22876500706450253,-0.12387188529966071
2014-06-06,-0.18479740830325053,0.4239865486853921
2014-06-09,0.04119866452370959,-0.1392534727759818
2014-06-10,-0.17681025662758348,-0.36903965755663753
2014-06-11,-0.07154460150837434,-0.3812256526535743
2014-06-12,-0.2756563174461368,-0.028430884373080244
2014-06-13,-0.1206070006385371,0.12868009911465011
2014-06-16,0.008290967500796727,-0.12190843048793751
2014-06-17,-0.0635779954123114,0.2887733001251756
