Date,EURUSD=X,BTD-USD,CAD=X
2021-01-11,0.20189200341701508,1.2730799913406372,1.2186205387115479
2021-01-12,0.14199599623680115,1.2771400213241577,1.2160701751708984
2021-01-13,0.09377200156450272,1.2707699537277222,1.2208894491195679
2021-01-14,0.06705699861049652,1.2698099613189697,1.2162491083145142
2021-01-15,0.058177001774311066,1.2647700309753418,1.2151259183883667
2021-01-18,0.010790999978780746,1.2764699459075928,1.2068113088607788
2021-01-19,0.010301000438630581,1.2747999429702759,1.207729458808899
2021-01-20,0.049952998757362366,1.2722699642181396,1.2138868570327759
2021-01-21,0.034735001623630524,1.2625999450683594,1.2115631103515625
2021-01-22,0.03162499889731407,1.2646700143814087,1.2166293859481812
2021-01-25,0.027188999578356743,1.2722899913787842,1.216944694519043
2021-01-26,0.024576999247074127,1.2737499475479126,1.214624047279358
2021-01-27,0.020719999447464943,1.2693899869918823,1.216299295425415
2021-01-28,0.02297399938106537,1.281599998474121,1.2105072736740112
2021-01-29,0.02346000075340271,1.2830899953842163,1.2120037078857422
2021-02-01,0.026156000792980194,1.2802200317382812,1.2123857736587524
2021-02-02,0.025721000507473946,1.284600019454956,1.2068694829940796
2021-02-03,0.06722600013017654,1.2785099744796753,1.203905463218689
2021-02-04,0.07252900302410126,1.27839994430542,1.2042388916015625
2021-02-05,0.061896998435258865,1.282289981842041,1.1966731548309326
2021-02-08,0.17519399523735046,1.2758400440216064,1.2048773765563965
2021-02-09,0.16851100325584412,1.2737699747085571,1.2053595781326294
2021-02-10,0.11908599734306335,1.2697099447250366,1.2119992971420288
2021-02-11,0.21592700481414795,1.2696000337600708,1.2121212482452393
2021-02-12,0.9378200173377991,1.2700599431991577,1.2131506204605103
2021-02-15,1.0699809789657593,1.2687900066375732,1.2122093439102173
2021-02-16,1.2301980257034302,1.2635600566864014,1.2132196426391602
2021-02-17,1.1720459461212158,1.270900011062622,1.2092483043670654
2021-02-18,1.477766990661621,1.2699899673461914,1.2048004865646362
2021-02-19,1.2310060262680054,1.268090009689331,1.209189772605896
2021-02-22,1.2949750423431396,1.2598700523376465,1.2126356363296509
2021-02-23,1.46731698513031,1.2609000205993652,1.2166796922683716
2021-02-24,1.264704942703247,1.2592600584030151,1.215214490890503
2021-02-25,1.2758489847183228,1.2510000467300415,1.2171372175216675
2021-02-26,1.1347270011901855,1.260990023612976,1.2160420417785645
2021-03-01,1.1588020324707031,1.2696000337600708,1.208956003189087
2021-03-02,1.2644569873809814,1.2641500234603882,1.2051095962524414
2021-03-03,1.2516850233078003,1.2635600566864014,1.208546757698059
2021-03-04,1.1903259754180908,1.2670700550079346,1.2050660848617554
2021-03-05,1.1831029653549194,1.2677899599075317,1.1967735290527344
2021-03-08,1.2663190364837646,1.2631900310516357,1.1925631761550903
2021-03-09,1.2704190015792847,1.2657899856567383,1.185171127319336
2021-03-10,1.1016900539398193,1.2643100023269653,1.1897906064987183
2021-03-11,1.2172590494155884,1.2620099782943726,1.1926058530807495
2021-03-12,1.2604949474334717,1.2531399726867676,1.1986095905303955
2021-03-15,1.1820260286331177,1.2469300031661987,1.1950000524520874
2021-03-16,1.182291030883789,1.2475500106811523,1.1925773620605469
2021-03-17,1.2032599449157715,1.2442699670791626,1.190164566040039
2021-03-18,1.1605130434036255,1.2389999628067017,1.1982792615890503
2021-03-19,1.1809769868850708,1.2490899562835693,1.1918240785598755
2021-03-22,1.0149320363998413,1.2522900104522705,1.1883116960525513
2021-03-23,0.8237490057945251,1.252079963684082,1.193303108215332
2021-03-24,0.6891099810600281,1.2590099573135376,1.1840205192565918
