Date,EURUSD=X,CAD=X,EURUSD=X_forecast,CAD=X_forecast
2023-01-02,0.031102751582739098,0.2110932861191292,0.09951371252731409,0.29390379123430543
2023-01-03,0.05217351269957576,0.08938710059754143,0.12928380135857187,0.2810694624273431
2023-01-04,0.7205886131141369,1.501947212712071,0.06821257169319218,0.2547101504182387
2023-01-05,1.9103913965050625,0.318376367617597,0.15027933228950857,0.39312356113526764
2023-01-06,0.3076789413227737,0.6294319728429038,0.2801583014727983,0.34425125691062
2023-01-09,0.8457078924105423,1.6243506652709674,0.1936188539617614,0.41858831867790597
2023-01-10,0.0954145922484188,0.5202212811000928,0.24276820180320957,0.44097961437002914
2023-01-11,0.08565681506029632,0.0028825468393894327,0.2196044628979309,0.41251761304502954
2023-01-12,0.0004658089146342404,0.06346835472584128,0.2138606378546309,0.39933836150148894
2023-01-13,0.16167593030945138,0.7662105007751604,0.2227367335794519,0.33688832314206185
2023-01-16,0.022806089814504094,0.10757283114452361,0.20879081791923051,0.46143839905183276
2023-01-17,0.00014261394363418233,0.002590924756178804,0.19377391131292046,0.37124266973253695
2023-01-18,0.0033892770953455474,0.11559325321944763,0.18858131010722354,0.287007067044928
2023-01-19,0.6243316492209268,0.0017735550274731043,0.14308209673888653,0.38789917492257614
2023-01-20,0.056223433068499,0.11133948836573512,0.2800559413785103,0.4050622293237688
2023-01-23,0.4750698869162397,0.08290733524114889,0.24452377603373437,0.33989550577134997
2023-01-24,4.5309190832293994e-05,0.007193056847576537,0.3374209441871833,0.3183338765002863
2023-01-25,0.0012353331943879304,0.016229500462421862,0.261809329866806,0.3944570534925884
2023-01-26,0.0016302043345988579,0.0968939332587554,0.21807877903008277,0.346974421585577
2023-01-27,0.22950451685171003,0.06388735203050148,0.1837720784845435,0.30819821546072573
2023-01-30,0.009384279211931803,0.044478969657063085,0.11585144771419251,0.3212372217312448
2023-01-31,0.3670756056456019,0.036470492910187766,0.22003058869824377,0.32980602330892184
2023-02-01,0.33790561123091234,0.00892900462982801,0.23026178093412097,0.3090937843378573
2023-02-02,0.05427987792555785,1.956174973327931,0.24940839868622589,0.3028087966832886
2023-02-03,0.09820358361367963,0.9568633490554294,0.10686359583894381,0.4081226868989981
2023-02-06,0.38941365326556127,1.097873212003924,0.1893674367163969,0.39683243972797716
2023-02-07,0.09499728317251992,0.31016516465244176,0.1596806657661312,0.41306246180249245
2023-02-08,0.1434075789677685,9.319624084812003e-05,0.17986281922750533,0.40894407254566595
2023-02-09,0.1681002701108541,0.016813527414703953,0.15255329383251587,0.36219731479665235
2023-02-10,0.0007574292049453313,0.0610473504019279,0.19188968115918703,0.37036714019044736
2023-02-13,0.4608727851024451,0.3613898907225372,0.09342580796935596,0.2657158246695113
2023-02-14,0.03309445069999338,0.24363738272969857,0.19817231093468962,0.33520497988874615
2023-02-15,0.0031637145497233027,0.002439639982017797,0.1482664856672144,0.36267209785441523
2023-02-16,0.1404715857904035,0.16768438858867457,0.14356419644167576,0.38386680570882353
2023-02-17,0.3786738504114752,0.059138891419444777,0.0236428098646648,0.3422142907732005
2023-02-20,0.004461392128555594,0.030701725902756393,0.1572449567625368,0.3230595231873435
2023-02-21,0.04626884810768714,0.0002917874798343289,0.10810583079977928,0.27354597995516094
2023-02-22,0.37062383396739274,0.08210829686951163,0.20789547947503612,0.28017858127295603
2023-02-23,0.006018173607345716,0.18815885713096045,0.1313599253907284,0.3265735507001502
2023-02-24,0.00026365091188631866,0.0053476274734972065,0.08647702740325873,0.3550421608298791
2023-02-27,0.13903703432437803,0.1668463137494272,0.052193572498243856,0.3002251454165191
2023-02-28,0.021002951919895107,0.2860104649224387,0.06990747108428731,0.33698920182155023
2023-03-01,0.2751350695821631,0.10203911885880355,0.10720170176918971,0.2843529658739805
2023-03-02,0.16602653387219582,0.7505177501563549,0.19001900443164174,0.30388273776909114
2023-03-03,0.0014641249910421934,0.4208250247519946,0.16753688479580753,0.3362592437566151
2023-03-06,0.0036374654908511495,0.06235809429367478,0.13046063473380268,0.3370695450730634
2023-03-07,0.00941632497407386,0.3418269072860811,0.0820624821087683,0.30532450102702957
2023-03-08,0.9369580794049649,1.6568663412860392,0.0620777888953148,0.29861026481096653
2023-03-09,0.1397842980328306,0.00013464631713262462,0.17559698300895515,0.3960629482649961
2023-03-10,0.052438914766830706,0.11116678925754438,0.15084864065436346,0.33950836999484146
2023-03-13,0.23606951224982387,0.873877908525456,0.1738171071737384,0.33279403862891455
2023-03-14,0.04317578230147252,0.1499046560141249,0.09976323593041057,0.3839251309488715
2023-03-15,0.11362824332392557,0.0006088785651071388,0.11211390518705319,0.3609876706314834
2023-03-16,0.3082366810950204,1.8094226490390488,0.1604845847959593,0.32609961553420297
2023-03-17,0.11071049719085616,0.08458356975265398,0.1532684001929763,0.38544720939365074
2023-03-20,0.004594830836262186,0.37181143474031875,0.18436883357766484,0.40893094401766816
2023-03-21,0.08009521289382325,0.14236531917368875,0.15562923312015203,0.3996507574606472
2023-03-22,0.07645127357892781,0.2641248118181701,0.1626614821369917,0.3484209314160202
2023-03-23,0.0033208958447488307,0.7964790574687225,0.07993825454315347,0.39528452161179306
2023-03-24,4.796472907110764e-06,0.10566118214064583,0.17550504510703072,0.4100172827756022
2023-03-27,0.005748217669301957,0.27551178472103544,0.20798566989125122,0.2777793570831072
2023-03-28,0.2851270778499334,0.07183026064505404,0.22134256804188931,0.4296448605678331
2023-03-29,0.19827523522050425,0.09015303618430201,0.17181677059799552,0.38581303198773664
2023-03-30,0.0493603114434965,0.0014404227118051886,0.12908638225433233,0.3833746889224604
2023-03-31,0.09227304776341581,0.3166080297108778,0.07279535646497065,0.28778718436248313
2023-04-03,0.022095885218805743,0.8632011223337408,0.1446115285810126,0.35007392358921013
2023-04-04,0.25440150420759977,1.0166658395662846,0.1725905947935086,0.368211779283862
2023-04-05,0.0010245218346718557,0.19219863232314405,0.2693505435228362,0.4112349711114976
2023-04-06,0.014714384834880283,0.2682345880810887,0.10100814148755423,0.3768455060564425
2023-04-07,0.09150618500408678,0.023707802852799487,0.08128530550297892,0.38930368270105997
2023-04-10,0.0044480367113468025,0.0036022516777552637,0.1181754464464433,0.3219676518282311
2023-04-11,1.9716568395966435e-05,0.16437349441867197,0.08782644984446035,0.3152614659722774
2023-04-12,0.09173816491744993,0.19647165285174797,0.15526250592358515,0.2831486075305206
2023-04-13,0.02793461244758449,0.5694162513161357,0.15133158785624667,0.35473763565509453
2023-04-14,0.5536058184170709,0.2474609567286578,0.07503782726051605,0.3660522335848521
2023-04-17,0.03512272828727165,0.3785345655379486,0.13098304892827772,0.32974663364257173
2023-04-18,0.04081128836994215,0.31046209777868633,0.06285431600510681,0.3537739062412507
2023-04-19,6.750449728195494e-05,0.20946308473680908,0.10792861146680471,0.3196396853416562
2023-04-20,0.3315026291885769,0.04467979677378342,0.11237481769070712,0.31785405893480473
2023-04-21,0.009033598884481247,0.029291720770372613,0.1589856867792347,0.2911013623569336
2023-04-24,0.182560468708399,0.03785141869832945,0.11127400519248538,0.3208344814669667
2023-04-25,0.0012054218930233178,0.37404725908188713,0.08382813431158521,0.32417344902196216
2023-04-26,0.39168753820969193,0.5378073832836603,0.035538997930710386,0.3261960747169789
2023-04-27,0.008157537296555498,0.39373390298264543,0.0842805476792627,0.3038464087145561
2023-04-28,0.051724653456501554,0.019015293891966312,0.09711771204480152,0.3279434533748925
2023-05-01,0.08912506142090243,0.03670915071615527,0.15035743974847976,0.33448208404782953
2023-05-02,0.0027410820761174046,0.14321624117621493,0.11111812448763524,0.32808465581416413
2023-05-03,0.2480842143187855,0.14430639848403154,0.07906206617732327,0.28354608805148956
2023-05-04,0.008289561251030978,0.27760351560486757,0.11564549923012421,0.29135079992830687
2023-05-05,0.6381804578572342,0.1726906254792345,0.0712575205301851,0.29484057685264836
2023-05-08,1.1182148735429112,0.001487267043944043,0.15061531701131922,0.3175017366493389
2023-05-09,0.0032270415036064737,0.04183258258870845,0.1644567591327517,0.32030179426600136
2023-05-10,0.0003780183005948592,0.08189958636607168,0.13578219840985387,0.32076332584814143
2023-05-11,0.0004698505880653797,0.03127450868819265,0.1079028753238508,0.30514249638148583
2023-05-12,0.8174308298343258,0.4286788995796456,0.09961323985800762,0.2768180557674164
2023-05-15,0.20437792020757428,0.29679817916108353,0.18061370850399666,0.301718791275931
2023-05-16,0.4311595018685003,0.03745904146107507,0.16792036014923237,0.30712906529580414
