Date,EURUSD=X_forecast,CAD=X_forecast
2023-01-02,1.3552301289781372,1.065885295673271
2023-01-03,1.3528171876567505,1.0707566955006893
2023-01-04,1.3558519826394082,1.0676822267119856
2023-01-05,1.3672817477760917,1.0547467534610369
2023-01-06,1.3487218853111236,1.0604009150609957
2023-01-09,1.35587336709119,1.0522215624240343
2023-01-10,1.3436862357326345,1.0652456871442018
2023-01-11,1.3394142383014578,1.073044559638221
2023-01-12,1.3432173766087723,1.0737448289395628
2023-01-13,1.3429851122910776,1.0764168092237805
2023-01-16,1.337660663018713,1.085731377060937
2023-01-17,1.339574470343759,1.0823847920143814
2023-01-18,1.3397601395668832,1.0828693363365116
2023-01-19,1.3389855917301157,1.0792578263640948
2023-01-20,1.3494083306873748,1.0796427318763817
2023-01-23,1.3464082361178369,1.0831914380805385
2023-01-24,1.337219965520417,1.0863196618125286
2023-01-25,1.336996185689692,1.0872789957540685
2023-01-26,1.3374560102225521,1.0886575412579624
2023-01-27,1.3379946492214716,1.092013916235219
2023-01-30,1.3316864474802237,1.0893560302231675
2023-01-31,1.3303226358618878,1.0870515671343857
2023-02-01,1.3382442852826155,1.0849709630555306
2023-02-02,1.330701689532133,1.085944243353718
2023-02-03,1.327532128503776,1.1009022340921173
2023-02-06,1.3315794122273599,1.0905764084298974
2023-02-07,1.3398251374717947,1.0791500604126714
2023-02-08,1.344021058527735,1.0730403957083432
2023-02-09,1.3390664273430755,1.0728393637032532
2023-02-10,1.3444006183277797,1.0714671296200793
2023-02-13,1.3448460693686755,1.0740500036940321
2023-02-14,1.335855010237191,1.0677394471630626
2023-02-15,1.33333099663299,1.0728176164607144
2023-02-16,1.3340322291109052,1.0734249369534767
2023-02-17,1.3389684811700016,1.0691125119676752
2023-02-20,1.3471637621845245,1.066482477520696
2023-02-21,1.3481684213150313,1.0682760761067245
2023-02-22,1.3453240739710322,1.0681269142648648
2023-02-23,1.3533544566624298,1.065114324258835
2023-02-24,1.354506128528611,1.0605190809849907
2023-02-27,1.3543059796046901,1.0596795747286551
2023-02-28,1.3592800209266702,1.0554076327989634
2023-03-01,1.3574105664728013,1.0608870874192036
2023-03-02,1.3643984010040062,1.0576476386898583
2023-03-03,1.3590256460894705,1.0665967239949896
2023-03-06,1.3594563247613445,1.0599578316075429
2023-03-07,1.3602702447114758,1.0624345502246046
2023-03-08,1.3615827299869736,1.068580705438446
2023-03-09,1.3745854425690418,1.0552002294050626
2023-03-10,1.3798447003464085,1.0548195527352577
2023-03-13,1.3830379018823848,1.0582619327031262
2023-03-14,1.3764568035634794,1.068038267506475
2023-03-15,1.3735440826191383,1.072285450208113
2023-03-16,1.368937061554249,1.0726233584909197
2023-03-17,1.3763665092994954,1.0584621828380494
2023-03-20,1.3719582293620105,1.0612213990014634
2023-03-21,1.3709770788726245,1.0676260403603697
2023-03-22,1.367139434371938,1.071702447597137
2023-03-23,1.3708087337821437,1.0771881749862016
2023-03-24,1.3716407196977152,1.086738765534873
2023-03-27,1.3716824983490226,1.083432354754792
2023-03-28,1.3727076662355178,1.0777847247073116
2023-03-29,1.3655007247246653,1.0805241630326012
2023-03-30,1.3594009031591714,1.0837613555708454
2023-03-31,1.3563296040920736,1.0842226057824014
2023-04-03,1.352230584565828,1.0902269160438605
2023-04-04,1.3501912664010343,1.0803834850428564
2023-04-05,1.3434455563958447,1.0908847979088743
2023-04-06,1.3437782917667307,1.095786246253249
2023-04-07,1.3453102267830237,1.09031107441365
2023-04-10,1.3494277701031474,1.091851812842147
2023-04-11,1.3503700334935724,1.0912390271117884
2023-04-12,1.3503230966894313,1.0868873885325823
2023-04-13,1.3462880766873617,1.0915268552189366
2023-04-14,1.3440137318902383,1.0997008619516448
2023-04-17,1.3341137466305424,1.1052298176596893
2023-04-18,1.3364463701806064,1.0986586403467387
2023-04-19,1.3391467174538434,1.0925236855114855
2023-04-20,1.3390735419589477,1.0973170518246473
2023-04-21,1.3466793846704375,1.0951314272988992
2023-04-24,1.348044860022342,1.0969289223474394
2023-04-25,1.3537475867877187,1.0990576576712503
2023-04-26,1.3533549475439732,1.1056961305374973
2023-04-27,1.361701014868013,1.0978669919002797
2023-04-28,1.363035569008087,1.1044652692977246
2023-05-01,1.3599932089151592,1.1031060073280001
2023-05-02,1.3559458380298397,1.1010071014225666
2023-05-03,1.35519288639457,1.0968806884122475
2023-05-04,1.3618453077296202,1.1008801876415715
2023-05-05,1.3631559706672136,1.1066483264100275
2023-05-08,1.3524238963880943,1.1022573144724164
2023-05-09,1.3381427452273233,1.101751063401458
2023-05-10,1.3372329842685147,1.09953254541392
2023-05-11,1.337480198435533,1.096403577575097
2023-05-12,1.337196171928776,1.0982399775708793
2023-05-15,1.3491490507192947,1.0912320703949057
2023-05-16,1.3553193426015646,1.0852605853553645
2023-05-17,1.3465799325392216,1.087199506125861
2023-05-18,1.347690385175383,1.086451429865657
2023-05-19,1.346659878697604,1.083758731493118
2023-05-22,1.34971703386536,1.0775337628726904
2023-05-23,1.3487933288206702,1.0820488912869406
2023-05-24,1.3502564485406603,1.0809944804016185
2023-05-25,1.349926432773573,1.0769229185015379
2023-05-26,1.358733573482371,1.0756251994595385
2023-05-29,1.3642439957737917,1.0723768590559597
2023-05-30,1.3609178839578024,1.0721757657915838
2023-05-31,1.3600916362040836,1.070663935122908
2023-06-01,1.3599541940486513,1.0731223006317414
2023-06-02,1.356617713007094,1.069460598242838
2023-06-05,1.3444062542653419,1.075811305551201
2023-06-06,1.3428288891567317,1.0698568101882158
2023-06-07,1.3447633288742649,1.071020417567122
2023-06-08,1.3398934274425467,1.0696992890629797
2023-06-09,1.3371651295360627,1.0705904732010683
2023-06-12,1.3361928290627199,1.0779787975716122
2023-06-13,1.3336880050528115,1.0750274489378873
2023-06-14,1.3362569569816127,1.0761415595474477
2023-06-15,1.3314996343172831,1.0787455215888884
2023-06-16,1.3326115838010766,1.0840580686069108
2023-06-19,1.322269903400031,1.0942523087576022
2023-06-20,1.3198060801363116,1.0940871392343674
2023-06-21,1.320921559531675,1.092338975968636
2023-06-22,1.3225265742694412,1.091917340775396
2023-06-23,1.3161496407157303,1.098987923745033
2023-06-26,1.3145888192204007,1.0958305759557092
2023-06-27,1.3164339135827765,1.0906482720988395
2023-06-28,1.3149977568723903,1.0909138946181585
2023-06-29,1.3197042904316367,1.0954979697816827
2023-06-30,1.325108882045099,1.0915403811368136
2023-07-03,1.324984311165957,1.086774501627142
2023-07-04,1.3249829063239218,1.0905413221197593
2023-07-05,1.3247848708040522,1.091168284262696
2023-07-06,1.3223573205708983,1.0884245663368717
2023-07-07,1.3285101631329768,1.0855893589378942
2023-07-10,1.3364452701645189,1.088864731278238
2023-07-11,1.3278703823565696,1.0966810359571273
2023-07-12,1.3273880387207364,1.1003922714886105
2023-07-13,1.3227991129996803,1.1012632561052318
2023-07-14,1.3183010952533143,1.114071083190445
2023-07-17,1.311236413647231,1.1220759901927544
2023-07-18,1.322365065286863,1.1226456624188181
2023-07-19,1.3201570158525515,1.1236223603433573
2023-07-20,1.3166403377574258,1.122785864842495
2023-07-21,1.3162869061074403,1.1204480031977684
2023-07-24,1.317389846041183,1.1137142083778915
2023-07-25,1.3223297298110557,1.1124346486908434
2023-07-26,1.3174963650145228,1.106306980038702
2023-07-27,1.3186292183502875,1.1049470176596117
2023-07-28,1.3204232187259122,1.1076638762597903
2023-07-31,1.3226583558237652,1.097933093702579
2023-08-01,1.3250295951102102,1.1022190879405036
2023-08-02,1.3192480090895429,1.099683617185491
2023-08-03,1.3267455549920257,1.1006446259159082
2023-08-04,1.334240491484959,1.0944114116649892
2023-08-07,1.3350344034474888,1.0950202681141366
2023-08-08,1.337258748755101,1.100043896215095
2023-08-09,1.3370249311353646,1.1001883264886803
2023-08-10,1.3424248256766602,1.0958499634598826
2023-08-11,1.3418691886086596,1.0976071470172686
2023-08-14,1.3444350534646712,1.0980314504590953
2023-08-15,1.3439682709905607,1.0943852897682897
2023-08-16,1.3458423128247252,1.0909293939261597
